CustomerId,Recency,Frequency,Monetary
CustomerId_1459,-44,1,14000
CustomerId_1461,-71,42,69400
CustomerId_1464,-78,4,22000
CustomerId_1466,-71,7,52120
CustomerId_1467,-89,8,14796
CustomerId_1468,-70,15,428024
CustomerId_1472,-85,66,338476
CustomerId_1474,-18,1,10000
CustomerId_1475,-9,8,17260
CustomerId_1476,-14,8,16100
CustomerId_1477,-79,58,146183
CustomerId_1478,-85,4,22000
CustomerId_1479,-71,6,32000
CustomerId_1480,-85,29,182000
CustomerId_1481,-30,13,31000
CustomerId_1482,-31,10,36000
CustomerId_1483,-46,9,12180
CustomerId_1484,-79,8,5030
CustomerId_1485,-78,23,152000
CustomerId_1486,-57,6,42000
CustomerId_1487,-24,8,6500
CustomerId_1488,-57,5,32000
CustomerId_1489,-39,6,90000
CustomerId_1490,-31,3,30000
CustomerId_1492,-9,3,3650
CustomerId_1494,-89,29,96625
CustomerId_1495,-8,5,12050
CustomerId_1496,-13,1,50000
CustomerId_1498,-88,4,5580
CustomerId_1499,-15,8,46000
CustomerId_15,-6,1,10000
CustomerId_1501,-85,5,32000
CustomerId_1502,-37,1,5000
CustomerId_1503,-70,74,327089
CustomerId_1504,-89,10,112550
CustomerId_1505,-85,116,233990
CustomerId_1506,-43,1,5000
CustomerId_1507,-83,2,1050
CustomerId_1508,-78,21,122000
CustomerId_1509,-85,17,101459
CustomerId_1510,-32,93,227302
CustomerId_1511,-65,4,6050
CustomerId_1512,-89,32,137365
CustomerId_1513,-43,6,41000
CustomerId_1514,-14,9,6450
CustomerId_1515,-85,70,159445
CustomerId_1516,-57,7,33025
CustomerId_1517,-69,11,35000
CustomerId_1518,-43,4,21000
CustomerId_1520,-78,20,140280
CustomerId_1521,-3,1,1000
CustomerId_1523,-72,14,282470
CustomerId_1524,-85,5,22000
CustomerId_1525,-18,1,1000
CustomerId_1526,-57,1,500
CustomerId_1528,-52,5,14220
CustomerId_1529,-8,28,29814
CustomerId_1531,-27,1,3000
CustomerId_1532,-45,20,628594
CustomerId_1533,-85,90,152245
CustomerId_1535,-88,7,60212748
CustomerId_1537,-71,24,132100
CustomerId_1538,-78,15,102000
CustomerId_1540,-15,5,31000
CustomerId_1541,-45,29,112400
CustomerId_1542,-78,5,22000
CustomerId_1543,-78,5,32000
CustomerId_1545,-76,70,253715
CustomerId_1546,-85,50,481400
CustomerId_1547,-37,52,110950
CustomerId_1550,-85,14,92000
CustomerId_1554,-87,26,35275
CustomerId_1557,-85,25,182000
CustomerId_1561,-85,5,32000
CustomerId_1562,-23,3,6250
CustomerId_1564,-32,28,56740
CustomerId_1565,-36,17,62400
CustomerId_1566,-67,1,1000
CustomerId_1567,-70,3,1000500
CustomerId_1568,-64,15,25360
CustomerId_1569,-55,1,5000
CustomerId_1570,-36,9,42000
CustomerId_1571,-51,1,10000
CustomerId_1572,-78,13,92000
CustomerId_1573,-22,6,41000
CustomerId_1576,-53,91,298834
CustomerId_1577,-3,3,5750
CustomerId_1578,-22,12,120000
CustomerId_1579,-90,20,162000
CustomerId_1580,-48,6,6068
CustomerId_1581,-64,13,37000
CustomerId_1583,-54,9,10270
CustomerId_1584,-89,59,259586
CustomerId_1587,-5,15,19645
CustomerId_1588,-60,33,146360
CustomerId_1591,-71,9,57000
CustomerId_1593,-90,13,102000
CustomerId_1594,-85,89,497220
CustomerId_1595,-15,4,12050
CustomerId_1597,-13,1,50000
CustomerId_1599,-56,3,2000
CustomerId_1601,-31,3,1630
CustomerId_1602,-77,58,4234490
CustomerId_1604,-42,30,69925
CustomerId_1605,-14,1,1800
CustomerId_1608,-4,16,20950
CustomerId_1609,-6,5,3025
CustomerId_1610,-68,1,500
CustomerId_1611,-43,5,31000
CustomerId_1612,-87,1,20000
CustomerId_1613,-78,18,122000
CustomerId_1614,-51,5,3000
CustomerId_1615,-78,5,22000
CustomerId_1617,-89,1,500
CustomerId_1618,-89,13,122000
CustomerId_1619,-1,1,5000
CustomerId_1620,-64,5,32000
CustomerId_1621,-64,1,1000
CustomerId_1622,-86,126,527775
CustomerId_1623,-85,5,32000
CustomerId_1624,-36,18,127150
CustomerId_1625,-36,21,142800
CustomerId_1626,-66,13,8125
CustomerId_1627,-86,1,500
CustomerId_1629,-42,1,500
CustomerId_1632,-85,68,469700
CustomerId_1634,-36,19,137130
CustomerId_1635,-57,6,42000
CustomerId_1636,-83,32,89342
CustomerId_1637,-76,1,10000
CustomerId_1638,-31,3,1525
CustomerId_1639,-65,14,19760
CustomerId_1640,-48,8,5625
CustomerId_1641,-36,6,41000
CustomerId_1642,-46,10,31690
CustomerId_1643,-43,5,31000
CustomerId_1645,-85,5,32000
CustomerId_1646,-51,2,1500
CustomerId_1647,-80,19,19000
CustomerId_1649,-65,3,1525
CustomerId_1651,-88,2,20000
CustomerId_1652,-45,1,5000
CustomerId_1653,-66,6,1662525
CustomerId_1655,-78,9,62000
CustomerId_1656,-86,90,1308730
CustomerId_1657,-38,3,6000
CustomerId_1658,-83,43,128032
CustomerId_1659,-20,3,165000
CustomerId_1660,-24,1,1000
CustomerId_1661,-89,20,79466
CustomerId_1663,-79,480,1766446
CustomerId_1664,-5,1,1000
CustomerId_1666,-57,1,50000
CustomerId_1669,-60,3,1525
CustomerId_1670,-28,15,244085
CustomerId_1671,-17,2,10000
CustomerId_1672,-55,6,22250
CustomerId_1674,-8,1,20000
CustomerId_1676,-85,32,236000
CustomerId_1679,-36,4,21000
CustomerId_1680,-78,11,764850
CustomerId_1681,-90,13,102000
CustomerId_1683,-82,12,125780
CustomerId_1684,-78,13,83000
CustomerId_1686,-83,1,1000
CustomerId_1687,-30,1,2000
CustomerId_1688,-67,16,124121
CustomerId_1690,-10,21,2018370
CustomerId_1692,-63,7,14050
CustomerId_1694,-78,22,152000
CustomerId_1695,-84,96,812278
CustomerId_1696,-64,11,31510
CustomerId_1697,-85,10,62000
CustomerId_1698,-87,2,501000
CustomerId_1699,-55,151,1102562
CustomerId_1701,-90,25,140000
CustomerId_1702,-1,14,12920
CustomerId_1703,-26,3,1525
CustomerId_1705,-88,3,2050
CustomerId_1707,-64,7,16000
CustomerId_1708,-78,6,32000
CustomerId_1709,-90,524,998873
CustomerId_1710,-68,5,5020
CustomerId_1712,-51,1,1000
CustomerId_1713,-69,47,45746
CustomerId_1714,-29,7,51000
CustomerId_1716,-28,1,80000
CustomerId_1717,-90,12,82000
CustomerId_1719,-88,1,5000
CustomerId_1720,-43,6,41000
CustomerId_1721,-43,6,41000
CustomerId_1722,-69,1,1000
CustomerId_1723,-4,1,800
CustomerId_1724,-61,1,1000000
CustomerId_1725,-6,20,27050
CustomerId_1726,-34,6,9120
CustomerId_1728,-51,3,6500
CustomerId_1729,-57,8,52000
CustomerId_1730,-64,63,174970
CustomerId_1731,-35,23,361000
CustomerId_1732,-37,18,211000
CustomerId_1733,-85,38,282000
CustomerId_1735,-72,3,23000
CustomerId_1736,-56,2,525
CustomerId_1738,-85,5,32000
CustomerId_1739,-82,19,11609
CustomerId_1741,-51,3,14200
CustomerId_1742,-67,3,7000
CustomerId_1744,-57,1,5000
CustomerId_1748,-71,3,64000
CustomerId_1749,-57,4,3050
CustomerId_1750,-89,21,25900
CustomerId_1752,-67,4,3050
CustomerId_1753,-23,1,250000
CustomerId_1754,-42,1,500
CustomerId_1755,-48,1,5000
CustomerId_1756,-30,1,5000
CustomerId_1757,-21,4,1050
CustomerId_1758,-82,91,187386
CustomerId_1759,-58,10,50000
CustomerId_1762,-85,10,19197
CustomerId_1763,-71,13,72000
CustomerId_1764,-16,2,11000
CustomerId_1767,-88,21,318060
CustomerId_1768,-80,68,266899
CustomerId_1769,-50,1,11200
CustomerId_1770,-89,8,28000
CustomerId_1773,-85,24,89372
CustomerId_1774,-85,38,271000
CustomerId_1776,-46,2,510
CustomerId_1782,-90,19,51162
CustomerId_1784,-85,9,62000
CustomerId_1786,-85,29,202800
CustomerId_1790,-89,27,229720
CustomerId_1791,-57,6,42000
CustomerId_1792,-15,1,1000000
CustomerId_1794,-17,9,20000
CustomerId_1795,-89,10,81000
CustomerId_1797,-47,3,8000
CustomerId_1798,-54,1,50000
CustomerId_1800,-78,5,27000
CustomerId_1801,-77,18,14125
CustomerId_1802,-83,3,21000
CustomerId_1805,-48,29,390317
CustomerId_1806,-19,20,74000
CustomerId_1807,-36,6,50000
CustomerId_1809,-27,19,68836
CustomerId_1810,-90,23,167000
CustomerId_1811,-5,3,2025
CustomerId_1812,-81,35,1239912
CustomerId_1813,-22,5,23950
CustomerId_1815,-90,79,81685
CustomerId_1817,-36,6,41000
CustomerId_1820,-62,10,17200
CustomerId_1821,-87,1,10000
CustomerId_1825,-85,19,171400
CustomerId_1827,-36,6,41000
CustomerId_1828,-36,5,31000
CustomerId_1830,-25,9,5200
CustomerId_1831,-58,14,313200
CustomerId_1833,-29,10,816000
CustomerId_1835,-43,6,41000
CustomerId_1836,-69,1,5000
CustomerId_1838,-61,1,1000
CustomerId_1839,-22,17,28772
CustomerId_1841,-85,22,162000
CustomerId_1843,-28,13,9055
CustomerId_1844,-50,10,57225
CustomerId_1845,-84,13,31600
CustomerId_1846,-74,16,118085
CustomerId_1848,-81,15,81700
CustomerId_1849,-86,29,61780
CustomerId_1850,-67,1,1509988
CustomerId_1852,-68,1,2000
CustomerId_1853,-36,1,1000
CustomerId_1855,-89,5,4050
CustomerId_1856,-71,2,60600
CustomerId_1858,-57,56,3708555
CustomerId_1859,-30,4,2025
CustomerId_1860,-88,47,332976
CustomerId_1861,-36,5,31000
CustomerId_1862,-6,5,2575
CustomerId_1864,-84,27,161600
CustomerId_1867,-81,31,192000
CustomerId_1870,-1,4,20200
CustomerId_1871,-58,17,63000
CustomerId_1872,-77,4,20000
CustomerId_1873,-1,1,1000
CustomerId_1874,-80,22,108630
CustomerId_1875,-85,97,896850
CustomerId_1876,-39,3,11000
CustomerId_1877,-79,18,211490
CustomerId_1879,-4,1,1000
CustomerId_1881,-85,35,291000
CustomerId_1882,-72,4,6500
CustomerId_1884,-18,1,10000
CustomerId_1885,-61,1,150000
CustomerId_1886,-41,3,17000
CustomerId_1887,-34,1,1000
CustomerId_1888,-27,1,10000
CustomerId_1889,-85,67,457408
CustomerId_1890,-85,9,102000
CustomerId_1891,-46,11,2011160
CustomerId_1892,-78,1,10000
CustomerId_1895,-7,13,11452
CustomerId_1898,-85,59,312400
CustomerId_1899,-78,10,72000
CustomerId_1900,-51,1,30000
CustomerId_1901,-78,17,122000
CustomerId_1903,-70,1,10000
CustomerId_1906,-59,43,213355
CustomerId_1907,-12,2,11000
CustomerId_1908,-64,152,132137
CustomerId_1911,-70,41,5379179
CustomerId_1913,-13,1,500
CustomerId_1914,-14,5,11250
CustomerId_1915,-56,11,63824
CustomerId_1916,-79,16,15115
CustomerId_1917,-53,7,330000
CustomerId_1918,-25,1,500
CustomerId_1919,-43,5,31000
CustomerId_1922,-78,5,32000
CustomerId_1923,-85,5,32000
CustomerId_1925,-64,45,61025
CustomerId_1927,-58,4,21200
CustomerId_1928,-64,3,1100
CustomerId_1929,-90,259,977308
CustomerId_1930,-43,6,41000
CustomerId_1931,-78,10,62000
CustomerId_1932,-32,32,41180
CustomerId_1935,-19,1,1000
CustomerId_1937,-84,67,342460
CustomerId_1938,-58,66,84961
CustomerId_1942,-50,7,5100
CustomerId_1943,-62,52,147110
CustomerId_1944,-83,6,92330
CustomerId_1945,-66,4,9150
CustomerId_1946,-90,20,152000
CustomerId_1947,-10,28,165470
CustomerId_1950,-43,9,61000
CustomerId_1951,-52,2,2000
CustomerId_1956,-89,60,126560
CustomerId_1961,-87,1,1000
CustomerId_1963,-4,6,14550
CustomerId_1965,-85,25,168520
CustomerId_1966,-23,1,10000
CustomerId_1967,-74,5,33050
CustomerId_1968,-87,8,29650
CustomerId_1969,-89,106,625666
CustomerId_1970,-70,7,16250
CustomerId_1971,-43,6,41000
CustomerId_1972,-54,2,1500
CustomerId_1973,-85,10,62000
CustomerId_1974,-90,25,189000
CustomerId_1975,-36,6,41000
CustomerId_1976,-89,144,422023
CustomerId_1978,-57,6,42000
CustomerId_1979,-8,181,319567
CustomerId_1980,-89,2,100500
CustomerId_1981,-47,8,5235
CustomerId_1983,-29,13,36000
CustomerId_1984,-56,1,540000
CustomerId_1985,-89,73,230372
CustomerId_1986,-54,2,1500
CustomerId_1987,-90,425,2403234
CustomerId_1988,-71,24,1934895
CustomerId_1990,-57,6,42000
CustomerId_1991,-78,4,22000
CustomerId_1994,-69,9,5205
CustomerId_1995,-79,278,1024640
CustomerId_1996,-75,16,60338
CustomerId_1997,-4,5,3340
CustomerId_1998,-77,3,20000
CustomerId_1999,-66,2,101500
CustomerId_2,-6,1,10000
CustomerId_2001,-9,14,12230
CustomerId_2002,-79,2,6250
CustomerId_2003,-79,15,98626
CustomerId_2004,-18,2,1500
CustomerId_2006,-35,75,736920
CustomerId_2007,-4,1,500
CustomerId_2008,-8,1,500
CustomerId_2009,-78,15,97000
CustomerId_2012,-43,17,65500
CustomerId_2013,-85,146,665294
CustomerId_2014,-57,6,42000
CustomerId_2015,-85,10,62000
CustomerId_2016,-36,15,17422
CustomerId_2017,-68,85,127035
CustomerId_2018,-89,9,62000
CustomerId_2019,-5,1,2000
CustomerId_2020,-78,5,27000
CustomerId_2022,-6,4,1575
CustomerId_2025,-57,6,41000
CustomerId_2029,-87,1,1000
CustomerId_2030,-71,1,2000
CustomerId_2032,-88,67,361000
CustomerId_2033,-82,76,138791
CustomerId_2034,-72,15,76000
CustomerId_2035,-81,10,24320
CustomerId_2036,-4,1,50000
CustomerId_2039,-33,1,500
CustomerId_2040,-89,1,150000
CustomerId_2041,-81,7,31520
CustomerId_2042,-90,20,160000
CustomerId_2046,-40,1,5000
CustomerId_2048,-72,1,1000
CustomerId_2049,-24,1,1000
CustomerId_2051,-85,61,450600
CustomerId_2052,-87,197,317976
CustomerId_2053,-74,1,1000
CustomerId_2054,-76,8,7120
CustomerId_2055,-60,12,37410
CustomerId_2056,-51,20,46425
CustomerId_2057,-36,6,41000
CustomerId_2059,-47,1,1100
CustomerId_2061,-78,14,62000
CustomerId_2062,-85,17,85395
CustomerId_2063,-78,24,152000
CustomerId_2064,-72,40,83705
CustomerId_2065,-61,7,7100
CustomerId_2067,-90,1,2000
CustomerId_2068,-90,119,461592
CustomerId_2069,-88,50,250405
CustomerId_2071,-77,1,10000
CustomerId_2072,-89,34,253000
CustomerId_2073,-51,1,1000
CustomerId_2074,-36,6,41000
CustomerId_2075,-72,7,15140
CustomerId_2076,-11,1,1500
CustomerId_2078,-66,8,63270
CustomerId_2081,-38,1,4000
CustomerId_2083,-61,1,1000
CustomerId_2085,-19,1,5000
CustomerId_2086,-82,3,52520
CustomerId_2089,-4,6,10080
CustomerId_2093,-85,25,244000
CustomerId_2094,-88,156,573046
CustomerId_2095,-87,1,10000
CustomerId_2097,-57,3,112000
CustomerId_2098,-15,1,10000
CustomerId_2099,-1,5,30400
CustomerId_2101,-11,1,500
CustomerId_2102,-36,7,61000
CustomerId_2103,-36,6,41000
CustomerId_2104,-22,6,41000
CustomerId_2105,-70,1,1000
CustomerId_2106,-89,14,112000
CustomerId_2107,-78,7,51000
CustomerId_2108,-58,2,40500
CustomerId_2109,-53,3,3000
CustomerId_2110,0,1,1000
CustomerId_2111,-90,111,364568
CustomerId_2115,-64,1,2000
CustomerId_2116,-5,1,2000
CustomerId_2117,-90,14,102000
CustomerId_2120,-71,5,32000
CustomerId_2122,-81,1,500
CustomerId_2123,-52,4,4500
CustomerId_2126,-89,18,12800
CustomerId_2127,-89,9,21350
CustomerId_2130,-79,29,110952
CustomerId_2133,-54,9,71400
CustomerId_2134,-57,17,112000
CustomerId_2135,-86,82,222386
CustomerId_2136,-29,2,1050
CustomerId_2137,-85,40,236000
CustomerId_2138,-85,14,112000
CustomerId_2139,-37,1,1000
CustomerId_2140,-89,13,102000
CustomerId_2141,-26,1,10000
CustomerId_2142,-57,28,216700
CustomerId_2143,-36,1,500000
CustomerId_2144,-35,4,31000
CustomerId_2145,-90,19,142000
CustomerId_2147,-88,1,10000
CustomerId_2148,-57,3,37790
CustomerId_2149,-78,9,62000
CustomerId_2150,-72,25,26663
CustomerId_2151,-40,1,6000
CustomerId_2152,-62,3,2050
CustomerId_2153,-58,1,500
